num of workers	Scalability Threads	Scalability Fast Flow	Thread time	FF time
1	0.998932	0.997373	116183	114608
2	1.74267	1.89598	66640.4	60345.6
3	2.57846	2.64425	45161.2	43368.2
4	3.19541	3.59414	36433	31801
5	4.15957	4.33055	27921.8	26424.8
6	4.98994	5.22994	23293.4	21860.6
7	5.43051	5.60512	21423.6	20494.2
8	6.31049	5.83068	18414.6	19808.4
9	7.20021	7.29688	16130	15688.6
10	6.79552	7.59509	17712.4	15128
11	8.44113	8.60156	13784.2	13329.2
12	9.00794	8.77343	12911	13146.6
13	8.96228	9.77946	13187.6	11714.2
14	10.6094	9.99265	10951	11601
15	10.6324	10.6062	10939.4	10790.8
16	11.1466	10.466	10457.6	11435
17	11.7901	10.8174	9937	10725.6
18	11.1106	11.8433	10678.8	9668
19	12.7777	10.7565	9094.6	10907.4
20	11.0028	11.032	10969.6	10791.2
21	10.7991	12.3466	11359.2	9273.2
22	11.2365	11.8834	10532	10006.2
23	11.5895	14.0704	10146.4	8134.8
24	10.1243	13.3398	11555.6	8700.4
25	11.6623	14.1421	10263.8	8114.6
26	11.5692	14.8002	10102.8	7732.6
27	10.9601	14.0703	10596	8192.4
28	10.0111	14.4126	11861.2	7941.4
29	11.5955	12.0094	10042.6	10429.6
30	10.6932	13.9279	11037.6	8221.6
31	10.3956	12.1595	11302.6	9700.6
32	10.9282	12.4985	10932.6	9572
