num of workers	mean_barrier_time
1	453.9
2	1682.5
3	54819.6
4	23631.2
5	48691.2
6	35476.3
7	68851.2
8	85220.7
9	75098.9
10	47782.6
11	51376.1
12	78728.5
13	81073
14	84882
15	90969.6
16	97591
17	101688
18	88347.5
19	127922
20	116769
21	140450
22	179703
23	182925
24	241484
25	251565
26	184996
27	229353
28	336299
29	365432
30	362529
31	389022
32	731830
33	956950
34	1.00521e+06
35	1.06266e+06
36	1.08744e+06
37	1.10021e+06
38	1.04734e+06
39	1.14322e+06
40	1.19127e+06
41	1.23218e+06
42	1.25294e+06
43	1.30763e+06
44	1.37646e+06
45	1.44965e+06
46	1.56606e+06
47	1.5435e+06
48	1.59812e+06
49	1.6772e+06
50	1.74875e+06
51	1.84973e+06
52	1.86305e+06
53	1.9893e+06
54	1.90764e+06
55	2.11819e+06
56	2.25483e+06
57	2.25226e+06
58	2.34269e+06
59	2.32405e+06
60	2.45019e+06
61	2.58091e+06
62	2.55493e+06
63	2.72982e+06
64	2.82264e+06
65	2.80055e+06
66	2.90512e+06
67	2.96034e+06
68	3.00501e+06
69	2.94743e+06
70	2.89597e+06
71	3.02223e+06
72	3.15208e+06
73	3.1354e+06
74	3.17315e+06
75	3.04524e+06
76	3.14604e+06
77	3.16956e+06
78	3.35185e+06
79	3.3042e+06
80	3.34579e+06
81	3.53756e+06
82	3.51478e+06
83	3.46429e+06
84	3.54957e+06
85	3.75474e+06
86	3.55683e+06
87	3.81473e+06
88	3.75242e+06
89	3.93017e+06
90	3.85245e+06
91	3.9932e+06
92	3.94743e+06
93	4.10022e+06
94	4.18401e+06
95	4.29093e+06
96	4.4245e+06
97	4.39599e+06
98	4.6354e+06
99	4.69607e+06
100	4.53228e+06
101	4.54172e+06
102	4.51884e+06
103	4.64504e+06
104	4.69399e+06
105	4.65993e+06
106	5.07606e+06
107	4.75299e+06
108	4.88122e+06
109	4.87721e+06
110	5.03045e+06
111	4.96112e+06
112	4.89162e+06
113	5.14312e+06
114	4.98324e+06
115	5.08506e+06
116	5.13234e+06
117	5.35441e+06
118	5.19359e+06
119	5.39329e+06
120	5.45834e+06
