num of workers	Scalability Threads	Scalability Fast Flow	Thread time	FF time
1	0.994229	0.990194	1.31609e+06	1.31649e+06
2	1.74737	1.91215	748970	682308
3	2.61377	2.79687	500642	466096
4	3.48146	3.67079	375899	355155
5	4.3597	4.56354	300144	285803
6	5.25297	5.38188	249097	242499
7	6.05963	6.3865	215939	204145
8	6.50571	7.1043	202414	183729
9	7.75563	8.11141	168727	160750
10	8.53696	8.9213	153296	146181
11	9.23363	9.80677	141799	132968
12	9.91756	10.7507	131969	121258
13	10.8381	11.1484	120891	117419
14	11.6208	12.4859	112968	104456
15	12.3447	12.9827	106087	100455
16	12.5263	13.4585	104648	97343.8
17	13.3735	13.7118	98027	95671
18	14.6193	15.0773	89535.6	86523.4
19	14.7786	15.8338	88623.6	82544
20	15.6006	16.1297	83973	80939.8
21	16.3601	16.5479	80090.8	78896.6
22	15.3216	15.9687	86381.4	83749.8
23	15.8148	16.0797	82915	81285.4
24	16.269	16.2591	80464.8	80266
25	16.1907	16.9755	80978.8	77871
26	18.3889	17.9437	71228.6	72774.4
27	17.3151	18.5285	75778.8	70684.8
28	17.7006	19.2443	74395	67821
29	18.0096	18.5838	72755	70279.8
30	18.2904	18.5899	71575.6	70251.8
31	17.0435	17.7541	76924.8	73487.4
32	16.2763	17.4184	81075	74966.8
