num of workers	Speedup Threads	Speedup Fast Flow	Seq time	Thread time	FF time
1	1.03337	1.06788	9321	9180	8785.2
2	1.96461	1.9372	9321	4759.2	4816.6
3	2.72857	2.74295	9321	3424.4	3403.2
4	3.67664	3.26633	9321	2539.8	2854.6
5	3.9334	3.18184	9321	2434.6	4286.8
6	3.47994	4.09857	9321	2800.6	2281
7	4.1574	4.07637	9321	2353.2	2301.4
8	3.99035	4.04401	9321	3139.4	2350.4
9	3.42597	4.5869	9321	2779.2	2033
10	2.9814	4.31213	9321	3264.6	2174
11	3.11971	3.76294	9321	3439.8	3006
12	3.62793	3.86698	9321	2626	2546.6
13	3.41348	3.91428	9321	3641.8	2424.6
14	3.73714	3.94182	9321	2615.8	2399.6
15	3.94987	4.08211	9321	2397.2	2295
16	3.81608	3.8554	9321	2500.4	2428
17	3.84837	4.26195	9321	2470.4	2222
18	3.90958	4.72489	9321	2437	1977.6
19	3.92283	4.4549	9321	2426.2	2098.8
20	3.9851	4.43863	9321	2409.2	2104.6
21	2.78011	4.27577	9321	4393.4	2183.8
22	4.04865	3.97379	9321	2306.2	2349.6
23	3.33645	3.76546	9321	3280	2491.2
24	3.30528	3.31858	9321	2828.4	3127.6
25	2.99498	3.17273	9321	3246.2	3572.4
26	3.663	3.27079	9321	2661.2	2876.4
27	2.67374	3.22856	9321	3518.2	2913.2
28	2.86185	2.95576	9321	3376.2	3279.6
29	2.65791	2.52566	9321	3549.8	3832.4
30	2.65334	2.89207	9321	3971.4	3241.6
31	2.17062	2.91023	9321	4722.4	3219.8
32	3.46359	3.42588	9321	2722.2	2728.2
