num of workers	Efficiency Threads	Efficiency Fast Flow	Seq time	Thread time	FF time
1	0.939837	0.939749	8204	8737.2	8762.2
2	0.869289	0.846745	8204	4752.1	4865
3	0.81249	0.770291	8204	3370.8	3569.7
4	0.702621	0.722029	8204	2953.6	2847.3
5	0.732003	0.644706	8204	2250.3	2562.7
6	0.543759	0.581775	8204	2668.4	2401.3
7	0.451992	0.447549	8204	3089	4573.8
8	0.398841	0.462065	8204	2670.4	2287
9	0.348761	0.459472	8204	2964.9	1990.1
10	0.327368	0.418746	8204	2689.1	1970.3
11	0.258948	0.343734	8204	2936	2277.8
12	0.276602	0.340833	8204	2532	2030.7
13	0.249109	0.303888	8204	2570	2136.5
14	0.22313	0.274567	8204	2666.7	2170.8
15	0.207922	0.222511	8204	2658.3	3217.9
16	0.199281	0.251816	8204	2669.3	2044.8
17	0.186449	0.218247	8204	2616.4	2302.7
18	0.176962	0.201526	8204	2640.6	2615.2
19	0.170131	0.190735	8204	2605.4	2294.1
20	0.152003	0.174234	8204	2732.5	2477.5
21	0.136881	0.160094	8204	3484.5	2641.4
22	0.136266	0.16088	8204	2848.2	2348
23	0.12052	0.146889	8204	3048.4	2567
24	0.12012	0.129265	8204	2940	3084.6
25	0.11335	0.126954	8204	2982.1	2714.4
26	0.106011	0.106747	8204	3484.5	4848.3
27	0.0978315	0.0864924	8204	3498.3	5428.2
28	0.0933092	0.10928	8204	3312.7	2698.7
29	0.0916424	0.104253	8204	3243.5	2746.2
30	0.0933422	0.0932796	8204	3037.9	3101
31	0.0894639	0.0793655	8204	3989	3576.8
32	0.0776334	0.0802265	8204	3708	4056.8
