num of workers	Efficiency Threads	Efficiency Fast Flow	Seq time	Thread time	FF time
1	0.937034	0.975051	110690	118302	113545
2	0.844278	0.88463	110690	65730.2	62782
3	0.809884	0.832966	110690	45695.5	44482.5
4	0.787514	0.830027	110690	35209.5	33420.9
5	0.773097	0.797267	110690	28719.4	27875.3
6	0.750893	0.781499	110690	24725.4	23928.3
7	0.744216	0.69577	110690	21362.4	23014.4
8	0.707119	0.736563	110690	19884.5	18969.8
9	0.737247	0.748344	110690	16828.1	16551.2
10	0.677846	0.757962	110690	16595.6	14622.6
11	0.683788	0.731346	110690	14923.9	13892.1
12	0.724182	0.703786	110690	12762	13204.4
13	0.680485	0.626167	110690	12700.8	14399.7
14	0.674897	0.709883	110690	11831.9	11198.3
15	0.67977	0.66526	110690	10913.6	11201.2
16	0.667887	0.583767	110690	10382.1	12269.1
17	0.566409	0.619367	110690	11696.1	10693.9
18	0.625108	0.595401	110690	10031.2	10832.8
19	0.567315	0.600675	110690	10764.7	10507.6
20	0.534708	0.5706	110690	10683.8	9787.9
21	0.521709	0.474783	110690	10413.9	13804.3
22	0.483045	0.47795	110690	10848.4	10916.9
23	0.442558	0.471676	110690	11166.3	10460.7
24	0.391624	0.446628	110690	12340.4	12072.3
25	0.417217	0.483933	110690	10817.4	9643.4
26	0.327437	0.369998	110690	13782.7	12713.4
27	0.359933	0.399504	110690	11793.6	10718.1
28	0.359228	0.436212	110690	11944.2	9285.4
29	0.343118	0.430643	110690	11638.8	10539.5
30	0.346712	0.405804	110690	10760.6	9167.1
31	0.340888	0.400424	110690	10583.6	9183.3
32	0.32594	0.343097	110690	10729.2	11154.1
