num of workers	Speedup Threads	Speedup Fast Flow	Seq time	Thread time	FF time
1	0.967393	0.982009	111209	114963	113253
2	1.74989	1.80987	111209	63870.2	61659.6
3	2.45864	2.56393	111209	45302.8	43395.2
4	3.2595	3.38137	111209	34146.6	32905.4
5	4.04447	4.24647	111209	27542.4	26197.2
6	4.83913	4.98932	111209	22989.8	22350
7	5.63018	5.53749	111209	19755.6	20169.4
8	6.25467	6.41571	111209	17807.2	17364.2
9	6.90468	7.32447	111209	16129	15183.8
10	7.5392	7.78875	111209	14845.4	14293.8
11	8.41025	8.32364	111209	13239.2	13379.2
12	8.70943	8.92762	111209	12891	12470
13	9.44016	9.2612	111209	11791.2	12022.6
14	8.76676	10.2109	111209	12868.6	10894.8
15	10.3563	10.3821	111209	11113	10722.6
16	10.4162	10.8344	111209	10908.2	10272
17	11.1486	10.7702	111209	10040.4	10601.8
18	12.1199	11.4355	111209	9188.8	9730
19	10.6413	12.0406	111209	10923.6	9242
20	11.7969	11.733	111209	9573.2	9535.8
21	11.4757	12.3701	111209	9876.8	8997.6
22	9.67589	12.5815	111209	11991.8	8843.6
23	11.3635	12.4407	111209	10084.8	8952.2
24	10.4891	12.2097	111209	10824.8	9464.2
25	10.0248	13.0652	111209	11525.8	8519
26	11.7057	12.6534	111209	9787.4	8848.6
27	10.948	12.7495	111209	10233.2	8745.4
28	9.75479	12.6426	111209	11580.2	8803.8
29	10.5208	12.3455	111209	10699.8	9076.2
30	11.0336	12.8708	111209	10103.6	8649.4
31	11.7173	13.1255	111209	9563.8	8481.2
32	11.063	11.7121	111209	10105.4	9756.6
